able,a ,  capable
hostile,a ,  characterized by enmity or ill will
systematic,a ,  characterized by order and planning
poor,a ,  characterized by poverty
loud,a ,  characterized by sound of great volume
plot,n ,  chart
compound,n ,  chemical compound
element,n ,  chemical element
reaction,n ,  chemical reaction
chemistry,n ,  chemical science
check,n ,  chess move
king,n ,  chess piece
president,n ,  chief executive of a republic
adoption,n ,  child adoption
play,n ,  child's play
chop,v ,  chop up
helicopter,n ,  chopper
church,n ,  church building
film,n ,  cinema
round,a ,  circular
condition,n ,  circumstance
quote,v ,  cite
orange,n ,  citrus fruit
block,n ,  city block
mayor,n ,  city manager
title,n ,  claim
tribe,n ,  clan
applaud,v ,  clap one's hands
confrontation,n ,  clash
pottery,n ,  clayware
soap,n ,  cleansing agent
cut,v ,  cleave
fist,n ,  clenched fist
bishop,n ,  clergyman
clerk,n ,  clerical worker
tick,v ,  click
time,n ,  clock time
close,a ,  close in relevance or relationship
contact,n ,  close interaction
cupboard,n ,  closet
dress,v ,  clothe
overall,n ,  clothing
belt,n ,  clothing accessory
cooperative,a ,  co-operative
train,v ,  coach
code,n ,  coding system for brief or secret messages
contemporary,n ,  coeval
proof,n ,  cogent evidence
belief,n ,  cognitive content held as true
judgment,n ,  cognitive process
laser,n ,  coherent light
snub,n ,  cold shoulder
fish,n ,  cold-blooded aquatic vertebrates
tent,n ,  collapsible shelter
raise,v ,  collect funds
wardrobe,n ,  collection of clothing
settlement,n ,  colony
rainbow,n ,  colored light in the sky
mosaic,n ,  colored stone or glass art
chord,n ,  combination of notes
land,v ,  come down on the ground
confront,v ,  come face to face with
appear,v ,  come into view
comfort,n ,  comfortableness
comfortable,a ,  comfy
recommend,v ,  commend
transaction,n ,  commercial dealing
market,v ,  commercialize
committee,n ,  commission
board,n ,  committee having supervisory powers
cold,n ,  common cold
infect,v ,  communicate a disease
write,v ,  communicate or express by writing
network,n ,  communication system with a group of broadcasting stations
compact,n ,  compact car
pity,n ,  compassion
command,v ,  compel
remunerate,v ,  compensate
competence,n ,  competency
plaintiff,n ,  complainant
finish,v ,  complete
complication,n ,  complex situation
complex,a ,  complicated
follow,v ,  comply
module,n ,  component
understand,v ,  comprehend
code,n ,  computer code
hardware,n ,  computer hardware
menu,n ,  computer menu
mouse,n ,  computer mouse
program,n ,  computer program
computing,n ,  computer science
software,n ,  computer software
computer,n ,  computing machine
brother,n ,  comrade
hide,v ,  conceal
design,v ,  conceive
notion,n ,  concept
practical,a ,  concerned with actual use or practice
applied,a ,  concerned with concrete problems or data
sacred,a ,  concerned with religion or religious purposes
personal,a ,  concerning a particular person
domestic,a ,  concerning the internal affairs of a nation
private,a ,  concerning things personal
definition,n ,  concise explanation
terms,n ,  condition
freedom,n ,  condition of being free
danger,n ,  condition of being susceptible to harm
improvement,n ,  condition superior to an earlier one
behavior,n ,  conduct
experiment,v ,  conduct a test or investigation
constellation,n ,  configuration of stars
fit,v ,  conform to shape or size
standard,a ,  conforming to a standard of measurement
normal,a ,  conforming with a norm or standard
representative,n ,  congressman
related,a ,  connected by kinship
related,a ,  connected logically or causally
node,n ,  connecting point
sanctuary,n ,  consecrated place
product,n ,  consequence of someone's efforts
doubt,v ,  consider unlikely
courtesy,n ,  considerate act
TRUE,a ,  consistent with fact or reality
structure,n ,  construction
use,n ,  consumption
bin,n ,  container
box,n ,  container
dish,n ,  container
vessel,n ,  container
cassette,n ,  container holding magnetic tape
full,a ,  containing as much as is possible
pollution,n ,  contamination
content,a ,  contented
satisfaction,n ,  contentment
competition,n ,  contest
race,n ,  contest of speed
game,n ,  contest with rules to determine a winner
circumstance,n ,  context
Europe,n ,  continent
pupil,n ,  contractile aperture in the iris of the eye
contradiction,n ,  contradiction in terms
wrong,a ,  contrary to conscience or morality or law
command,v ,  control
joystick,n ,  control stick
vehicle,n ,  conveyance
sentence,n ,  conviction
biscuit,n ,  cookie
herb,n ,  cooking herb
pan,n ,  cooking pan
pot,n ,  cooking vessel
cage,n ,  coop
partnership,n ,  cooperation among people
policeman,n ,  cop
right,a ,  correct
makeup,n ,  cosmetics
sofa,n ,  couch
mole,n ,  counterspy
poll,n ,  counting of votes
voucher,n ,  coupon
seminar,n ,  course
credit,n ,  course credit
course,n ,  course of action
warrant,n ,  court warrant
polite,a ,  courteous
court,n ,  courtyard
bloody,a ,  covered with blood
shell,n ,  covering of a mollusc
appetite,n ,  craving
creep,v ,  crawl
bond,v ,  create social or emotional ties
creation,n ,  creative activity
artist,n ,  creative person
literature,n ,  creative writing
sailor,n ,  crewman
prosecution,n ,  criminal prosecution
record,n ,  criminal record
gravel,n ,  crushed rock
block,n ,  cube
cell,n ,  cubicle
ethnic,a ,  cultural
mug,n ,  cup
cabinet,n ,  cupboard-like repository
cup,n ,  cupful
heal,v ,  cure
money,n ,  currency
damn,v ,  curse
curve,n ,  curved shape
pillow,n ,  cushion
convention,n ,  custom
crop,v ,  cut short
fork,n ,  cutlery
spoon,n ,  cutlery
roll,n ,  cylindrical form
sunrise,n ,  daily morning event
dairy,n ,  dairy farm
total,v ,  damage beyond the point of repair
ballet,n ,  dance
dark,n ,  darkness
file,n ,  data file
anniversary,n ,  day of remembrance
date,n ,  day of the month
holiday,n ,  day on which work is suspended
body,n ,  dead body
franchise,n ,  dealership
expose,v ,  debunk
betray,v ,  deceive
resolution,n ,  decision to do something
classify,v ,  declare unavailable
swear,v ,  declare under oath
refuse,v ,  decline to do
recession,n ,  declining economy
profound,a ,  deep
carrot,n ,  deep orange edible root
coma,n ,  deep unconsciousness
default,n ,  default option
desert,v ,  defect
lemon,n ,  defective artifact
credit,n ,  deferred payment
payment,n ,  defrayal
temperature,n ,  degree of hotness or coldness
quality,n ,  degree or grade of excellence
extension,n ,  delay of deadline
censorship,n ,  deletion of material in art works
debate,v ,  deliberate
lace,n ,  delicate fabric
tasty,a ,  delicious
pleasure,n ,  delight
pleasant,a ,  delightful
preach,v ,  deliver a sermon
claim,n ,  demand
need,n ,  demand
charge,v ,  demand payment
challenge,n ,  demanding or stimulating situation
demonstration,n ,  demo
thick,a ,  dense in consistency
density,n ,  denseness
reliable,a ,  dependable
describe,v ,  depict
subject,n ,  depicted object
bank,n ,  depository financial institution
rob,v ,  deprive somebody of something
fall,v ,  descend in free fall
lineage,n ,  descent
integration,n ,  desegregation
motif,n ,  design
functional,a ,  designed for or capable of a particular function
architect,n ,  designer of buildings
want,v ,  desire
despair,n ,  desperate feeling
sweet,n ,  dessert
break,v ,  destroy
demolish,v ,  destroy
confine,v ,  detain
discourage,v ,  deter
weigh,v ,  determine the weight of
decisive,a ,  determining
modernize,v ,  develop
instrument,n ,  device
support,n ,  device that bears the weight of another thing
filter,n ,  device that removes something small
dark,a ,  devoid of light
plot,v ,  diagram
journal,n ,  diary
drown,v ,  die in water
diet,n ,  dieting
difficulty,n ,  difficultness
proportion,n ,  dimension
first-hand,a ,  direct
management,n ,  direction
rule,n ,  directions defining a game or sport
manager,n ,  director
denial,n ,  disaffirmation
unpleasant,a ,  disagreeable
fire,v ,  discharge a weapon
history,n ,  discipline that interprets past events
negative,a ,  disconfirming
disco,n ,  discotheque
find,v ,  discover
incongruous,a ,  discrepant
digital,a ,  discrete
consultation,n ,  discussion to consider a point
spirit,n ,  disembodied spirit
mask,n ,  disguise
pie,n ,  dish
plate,n ,  dish
menu,n ,  dishes planned for a meal
chart,n ,  display of information
neglect,n ,  disregard
joint,n ,  disreputable place of entertainment
undress,v ,  disrobe
interrupt,v ,  disrupt
thesis,n ,  dissertation
deter,v ,  dissuade
mile,n ,  distance
aloof,a ,  distant
trait,n ,  distinguishing feature of your personal nature
characteristic,n ,  distinguishing quality
spread,v ,  distribute over a surface
quarter,n ,  district of a city
trench,n ,  ditch
butterfly,n ,  diurnal insect
even,a ,  divisible by two
harm,v ,  do harm to
work,v ,  do work
charter,n ,  document
record,n ,  document serving as legal evidence of a transaction
source,n ,  documentary reference
pound,n ,  dog pound
goat,n ,  domestic animal
dog,n ,  domestic dog
chicken,n ,  domestic fowl
control,n ,  dominance
contribution,n ,  donation
gate,n ,  door
point,n ,  dot
deposit,n ,  down payment
opera,n ,  drama set to music
drama,n ,  dramatic event
curtain,n ,  drape
pull,v ,  draw
tap,v ,  draw from
diagram,n ,  drawing
dream,n ,  dreaming
sip,v ,  drink
glass,n ,  drinking glass
straw,n ,  drinking straw
dribble,v ,  drip
drive,n ,  driveway
heroin,n ,  drug
rehearsal,n ,  dry run
rule,n ,  duration of a monarch's or government's power
house,n ,  dwelling
past,a ,  earlier than the present time
mail,n ,  earth mail
pole,n ,  Earth's antipodal point
tender,a ,  easy to cut or chew
distinct,a ,  easy to perceive
handy,a ,  easy to use
restaurant,n ,  eating place
aid,n ,  economic aid
economist,n ,  economic expert
boom,n ,  economic prosperity
prosperity,n ,  economic prosperity
economics,n ,  economic science
economy,n ,  economic system
bean,n ,  edible bean
onion,n ,  edible bulb
corn,n ,  edible corn
building,n ,  edifice
style,n ,  editorial directions
school,n ,  educational institution
influence,n ,  effect of one thing or person
practical,a ,  efficient
shell,n ,  eggshell
self,n ,  ego
hip,n ,  either side of the body below the waist and above the thigh
elbow,n ,  elbow joint
choose,v ,  elect to do
voter,n ,  elector
battery,n ,  electric battery
charge,n ,  electric charge
current,n ,  electric current
shock,n ,  electric shock
switch,n ,  electric switch
electron,n ,  elementary particle
hill,n ,  elevation of the land
lift,n ,  elevator
elite,n ,  elite group
banana,n ,  elongated crescent-shaped yellow fruit
flag,n ,  emblem
eagle,n ,  emblem representing power
utter,v ,  emit
smell,v ,  emit an odor
glow,v ,  emit light
sentiment,n ,  emotion
spirit,n ,  emotional state
work,n ,  employment
authorise,v ,  empower
space,n ,  empty area
drain,v ,  empty of liquid
frame,v ,  enclose in a frame
settle,v ,  end a legal dispute
output,n ,  end product
terminal,a ,  endmost
survival,n ,  endurance
charge,v ,  energize a battery
fuel,n ,  energy
wrap,v ,  enfold in a tissue
wrestle,v ,  engage in a wrestling match
play,v ,  engage in playful activity
technology,n ,  engineering
indulge,v ,  enjoy to excess
expansion,n ,  enlargement
soldier,n ,  enlisted man or woman
register,v ,  enroll to vote
plead,v ,  enter a plea in courts of law
break in,v ,  enter illegally
penetrate,v ,  enter into
attraction,n ,  entertainment offered to the public
temptation,n ,  enticement
solid,a ,  entirely of one substance with no holes inside
admission,n ,  entrance fee
ticket,n ,  entry or access ticket
articulate,v ,  enunciate
atmosphere,n ,  envelope of gases
era,n ,  epoch
reaction,n ,  equal and opposite force
balance,n ,  equality between credit and debit
parallel,a ,  equidistant and not intersecting
breakdown,n ,  equipment failure
just,a ,  equitable
ambiguous,a ,  equivocal
ambiguity,n ,  equivocalness
error,n ,  erroneous belief
flight,n ,  escape
leak,v ,  escape through an opening
date,n ,  escort
perfume,n ,  essence
nature,n ,  essential qualities or characteristics
settle,v ,  establish a residence
habit,n ,  established custom
institution,n ,  establishment
admiration,n ,  esteem
folk music,n ,  ethnic music
evening,n ,  eve
incident,n ,  event
trouble,n ,  event causing distress or pain
estate,n ,  everything you own
contrary,n ,  exact opposition
screen,v ,  examine methodically
inspector,n ,  examiner
mine,n ,  excavation of ores and minerals
fat,n ,  excess bodily weight
sell,v ,  exchange for money
redeem,v ,  exchange for ransom under threat
correspond,v ,  exchange messages
correspondence,n ,  exchange of letters
exclusive,a ,  excluding much or all
monopoly,n ,  exclusive control
illustrate,v ,  exemplify
work out,v ,  exercise
dominant,a ,  exercising influence or control
press,v ,  exert pressure or force on
museum,n ,  exhibition hall
abstract,a ,  existing only in the mind
anticipation,n ,  expectancy
spend,v ,  expend
experiment,n ,  experimentation
authority,n ,  expert whose views are taken as definitive
expertise,n ,  expertness
account,n ,  explanation
reason,n ,  explanation of the cause
explain,v ,  explicate
remark,n ,  explicit notice
blast,n ,  explosion
bomb,n ,  explosive device
mine,n ,  explosive device
complain,v ,  express discontent
explicit,a ,  expressed
apology,n ,  expression of regret
delicate,a ,  exquisitely fine and subtle
society,n ,  extended social group
surface,n ,  extended two-dimensional outer boundary
length,n ,  extent of something from beginning to end
blackmail,n ,  extortion
galaxy,n ,  extragalactic nebula
lid,n ,  eyelid
silk,n ,  fabric
wool,n ,  fabric
manufacture,n ,  fabrication
side,n ,  face
aspect,n ,  facet
feature,n ,  facial feature
beard,n ,  facial hair
fax,n ,  facsimile
parameter,n ,  factor
observation,n ,  facts learned by observing
attention,n ,  faculty or power of mental concentration
miss,v ,  fail to attend an event or activity
overlook,v ,  fail to notice
miss,v ,  fail to reach or get to
lose,v ,  fail to win
absence,n ,  failure to be present
sunshine,n ,  fair weather
crash,v ,  fall or come down violently
illusion,n ,  false mental representation
distort,v ,  falsify
acquaintance,n ,  familiar person
kinship,n ,  family relationship
crystal,n ,  fancy glassware
model,n ,  fashion model
trick,n ,  fast one
hook,v ,  fasten with a hook
lock,v ,  fasten with a lock
link,n ,  fastener
lock,n ,  fastener fitted to a door
screw,n ,  fastener with a tapered threaded shank
knot,n ,  fastening formed by looping and tying
cream,n ,  fat part of milk
tired,a ,  fatigued
blame,v ,  fault put the blame on
prefer,v ,  favor
progressive,a ,  favoring or promoting progress
bold,a ,  fearless and daring
banquet,n ,  feast
agent,n ,  federal agent
commission,n ,  fee
toll,n ,  fee for the use of roads or bridges
care,v ,  feel concern or interest
freeze,v ,  feel or be cold
miss,v ,  feel or suffer from the lack of
desire,n ,  feeling
unrest,n ,  feeling of agitation
concern,n ,  feeling of sympathy
confidence,n ,  feeling of trust
proud,a ,  feeling self-respect
cat,n ,  feline
hen,n ,  female chicken
girl,n ,  female child
bitch,n ,  female dog
queen,n ,  female monarch
mother,n ,  female parent
iron,n ,  ferrous metal
ferry,n ,  ferryboat
conception,n ,  fertilization
celebration,n ,  festivity
party,n ,  festivity
fibre,n ,  fiber
character,n ,  fictional character
novel,n ,  fictional work
heart,n ,  figure with rounded sides curving inward at the top
stuff,v ,  fill tightly
movie,n ,  film
producer,n ,  film or play producer
final,n ,  final examination
treasurer,n ,  financial officer
statement,n ,  financial statement
convict,v ,  find guilty
clay,n ,  fine-grained soil
powder,n ,  fine-grained substance
sand,n ,  finely ground particles
thumb,n ,  finger
fastidious,a ,  finicky
fireplace,n ,  fire
shoot,v ,  fire a shot
rifle,n ,  firearm
firefighter,n ,  fireman
strong,a ,  firm
cousin,n ,  first cousin
initial,n ,  first letter of a word
beginning,n ,  first part or section of something
introduction,n ,  first section of a communication
initiative,n ,  first step
freshman,n ,  first year student
financial,a ,  fiscal
salmon,n ,  fish
fisherman,n ,  fisher
healthy,a ,  fit
fee,n ,  fixed charge
interest,n ,  fixed charge for borrowing money
fire,n ,  flame
base,n ,  flat bottom on which something sits
tile,n ,  flat thin slab
flat,n ,  flat tire
meat,n ,  flesh of animals
fish,n ,  flesh of fish used as food
lip,n ,  fleshy folds of tissue surrounding the mouth
steward,n ,  flight attendant
flight,n ,  flight of stairs
deck,n ,  floor on a ship
floor,n ,  flooring
dough,n ,  flour mixture
spill,v ,  flow out
lily,n ,  flower
rose,n ,  flower
pot,n ,  flowerpot
variation,n ,  fluctuation
chimney,n ,  flue
soar,v ,  fly upwards
conventional,a ,  following accepted customs
second,n ,  following the first
cheese,n ,  food
salad,n ,  food mixture
reckless,a ,  foolhardy
football,n ,  football game
trace,n ,  footprint
marathon,n ,  footrace of 26 miles
boot,n ,  footwear
sandal,n ,  footwear
shoe,n ,  footwear
offensive,a ,  for the purpose of attack
patience,n ,  forbearance
camp,n ,  forced labor prison
index finger,n ,  forefinger
deer,n ,  forest animal
organize,v ,  form
tie,v ,  form a knot or bow in
spin,v ,  form a web
match,n ,  formal contest
ball,n ,  formal dance
association,n ,  formal organization of people
reception,n ,  formal party
line,n ,  formation of people or things one behind another
rule,n ,  formula standard procedure for solving a mathematical problem
castle,n ,  fortified building
coal,n ,  fossil fuel
spring,n ,  fountain
break,n ,  fracture
wheel,n ,  frame with spokes
model,n ,  framework
rack,n ,  framework for holding objects
hotdog,n ,  frankfurter
monster,n ,  freak
relieve,v ,  free from a burden or distress
clear,a ,  free from clouds or mist or haze
straight,a ,  free from curves or angles
safe,a ,  free from danger
clean,a ,  free from dirt
rescue,v ,  free from harm or evil
dry,a ,  free from liquid or moisture
pure,a ,  free of extraneous elements of any kind
liberty,n ,  freedom
refrigerator,n ,  fridge
ally,n ,  friend
warm,a ,  friendly and responsive
ally,n ,  friendly nation
terrify,v ,  frighten greatly
medieval,a ,  from the Middle Ages
ice cream,n ,  frozen dessert
ice,n ,  frozen water
cherry,n ,  fruit
fig,n ,  fruit
lemon,n ,  fruit
strawberry,n ,  fruit
smoke,n ,  fumes
official,n ,  functionary
constitution,n ,  fundamental law
mushroom,n ,  fungus
desk,n ,  furniture
seat,n ,  furniture designed for sitting on
lamp,n ,  furniture holding lightbulbs
profit,n ,  gain
net,n ,  game equipment
score,n ,  game score
board,n ,  gameboard
coat,n ,  garment
shirt,n ,  garment
skirt,n ,  garment
top,n ,  garment that extends from the shoulders to the waist or hips
homosexual,a ,  gay
gear,n ,  gear mechanism
jelly,n ,  gelatinous substance
diamond,n ,  gem
sale,n ,  general activity of selling
category,n ,  general concept
health,n ,  general condition of body and mind
